bus_id,name,base_kv,area_number,area_hint
3000,FORSMARK,420,23,SE3
3020,DANNEBO_HVDC,420,23,SE3
3100,HJALTA,420,22,SE2
3115,PORJUS,420,21,SE1
3200,TENHULT,420,23,SE3
3244,HOGASEN,300,22,SE2
3245,JARPSTROMMEN,420,22,SE2
3249,GRUNDFORS,420,22,SE2
3300,OSKARSHAMN,420,23,SE3
3359,RINGHALS,420,23,SE3
3360,STENKU_HVDC,135,23,SE3
3701,AJAURE,300,22,SE2
5100,TRETTEN,300,11,NO1
5101,HASLE,420,11,NO1
5102,DAGALI,420,15,NO5
5103,KONGSBERG,420,11,NO1
5300,SIMA,300,15,NO5
5301,AURLAND,420,15,NO5
5304,GEILO,420,15,NO5
5305,EIDFJORD,420,15,NO5
5400,OSLO1,300,11,NO1
5401,SYLLING,420,11,NO1
5402,KAGGEFOSS,420,11,NO1
5500,OSLO2,300,11,NO1
5501,SKIEN,420,11,NO1
5600,KRISTIANSAND,300,12,NO2
5601,STAVANGER,300,12,NO2
5602,SANDEFJORD,420,12,NO2
5603,ARENDAL,300,12,NO2
5610,KRISTIA_HVDC,300,12,NO2
5620,FEDA_HVDC,300,12,NO2
6000,KVILLDAL,300,12,NO2
6001,HAGAFOSS,420,15,NO5
6100,BLAFALLI,300,12,NO2
6500,TRONDHEIM,300,13,NO3
6700,ROSSAGA,300,14,NO4
6701,OFOTEN,420,14,NO4
7000,HELSINKI,420,31,FI
7010,VYBORG_HVDC,420,31,FI
7020,ESTLINK_HVDC,420,31,FI
7100,OULU,420,31,FI
8500,MALMO,420,24,SE4
8600,ARRIE_HVDC,420,24,SE4
8700,KARLSH_HVDC,420,24,SE4
